"Statistic Label","Year","Commodity Group","UNIT","VALUE"
"Harmonised Index of Consumer Prices","2012","HICP All items excluding energy and unprocessed food","Base 2015=100","97.5"
"Harmonised Index of Consumer Prices","2012","HICP All items excluding housing, water, electricity, gas and other fuels","Base 2015=100","101.1"
"Harmonised Index of Consumer Prices","2013","All-items HICP (COICOP 00)","Base 2015=100","99.7"
"Harmonised Index of Consumer Prices","2013","Food and non-alcoholic beverages (COICOP 01)","Base 2015=100","104.5"
"Harmonised Index of Consumer Prices","2013","Food (COICOP 01.1)","Base 2015=100","104.6"
"Harmonised Index of Consumer Prices","2013","Bread and cereals (COICOP 01.1.1)","Base 2015=100","105.1"
"Harmonised Index of Consumer Prices","2013","Meat (COICOP 01.1.2)","Base 2015=100","104.6"
"Harmonised Index of Consumer Prices","2013","Fish and seafood (COICOP 01.1.3)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2013","Milk, cheese and eggs (COICOP 01.1.4)","Base 2015=100","102.5"
"Harmonised Index of Consumer Prices","2013","Oils and fats (COICOP 01.1.5)","Base 2015=100","99.5"
"Harmonised Index of Consumer Prices","2013","Fruit (COICOP 01.1.6)","Base 2015=100","105.7"
"Harmonised Index of Consumer Prices","2013","Vegetables (COICOP 01.1.7)","Base 2015=100","109.2"
"Harmonised Index of Consumer Prices","2013","Sugar, jam, honey, chocolate and confectionery (COICOP 01.1.8)","Base 2015=100","102.4"
"Harmonised Index of Consumer Prices","2013","Food products n.e.c. (COICOP 01.1.9)","Base 2015=100","102.1"
"Harmonised Index of Consumer Prices","2013","Non-alcoholic beverages (COICOP 01.2)","Base 2015=100","104"
"Harmonised Index of Consumer Prices","2013","Coffee, tea and cocoa (COICOP 01.2.1)","Base 2015=100","102.5"
"Harmonised Index of Consumer Prices","2013","Mineral waters, soft drinks, fruit and vegetable juices (COICOP 01.2.2)","Base 2015=100","104.2"
"Harmonised Index of Consumer Prices","2013","Alcoholic beverages, tobacco and narcotics (COICOP 02)","Base 2015=100","96"
"Harmonised Index of Consumer Prices","2013","Alcoholic beverages (COICOP 02.1)","Base 2015=100","99.8"
"Harmonised Index of Consumer Prices","2013","Spirits (COICOP 02.1.1)","Base 2015=100","96.5"
