"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","2010","CP031 - Clothing","Euro Million","2583"
"Consumption of Personal Income at Current Market Prices","2010","CP032 - Footwear","Euro Million","554"
"Consumption of Personal Income at Current Market Prices","2010","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","16613"
"Consumption of Personal Income at Current Market Prices","2010","CP041 - Actual rentals for housing","Euro Million","2907"
"Consumption of Personal Income at Current Market Prices","2010","CP042 - Imputed rentals for housing","Euro Million","10015"
"Consumption of Personal Income at Current Market Prices","2010","CP043 - Maintenance and repair of the dwelling","Euro Million","352"
"Consumption of Personal Income at Current Market Prices","2010","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","303"
"Consumption of Personal Income at Current Market Prices","2010","CP045 - Electricity, gas and other fuels","Euro Million","3036"
"Consumption of Personal Income at Current Market Prices","2010","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","3406"
"Consumption of Personal Income at Current Market Prices","2010","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","1069"
"Consumption of Personal Income at Current Market Prices","2010","CP052 - Household textiles","Euro Million","329"
"Consumption of Personal Income at Current Market Prices","2010","CP053 - Household appliances","Euro Million","301"
"Consumption of Personal Income at Current Market Prices","2010","CP054 - Glassware, tableware and household utensils","Euro Million","304"
"Consumption of Personal Income at Current Market Prices","2010","CP055 - Tools and equipment for house and garden","Euro Million","141"
"Consumption of Personal Income at Current Market Prices","2010","CP056 - Goods and services for routine household maintenance","Euro Million","1262"
"Consumption of Personal Income at Current Market Prices","2010","CP06 - Health","Euro Million","3447"
"Consumption of Personal Income at Current Market Prices","2010","CP061 - Medical products, appliances and equipment","Euro Million","731"
"Consumption of Personal Income at Current Market Prices","2010","CP062 - Out-patient services","Euro Million","997"
"Consumption of Personal Income at Current Market Prices","2010","CP063 - Hospital services","Euro Million","1719"
"Consumption of Personal Income at Current Market Prices","2010","CP07 - Transport","Euro Million","9113"
"Consumption of Personal Income at Current Market Prices","2010","CP071 - Purchase of vehicles","Euro Million","2415"
"Consumption of Personal Income at Current Market Prices","2010","CP072 - Operation of personal transport equipment","Euro Million","4666"
"Consumption of Personal Income at Current Market Prices","2010","CP073 - Transport services","Euro Million","2032"
"Consumption of Personal Income at Current Market Prices","2010","CP08 - Communications","Euro Million","2261"
"Consumption of Personal Income at Current Market Prices","2010","CP081 - Postal services","Euro Million","68"
"Consumption of Personal Income at Current Market Prices","2010","CP082 - Telephone and telefax equipment","Euro Million","89"
"Consumption of Personal Income at Current Market Prices","2010","CP083 - Telephone and telefax services","Euro Million","2104"
"Consumption of Personal Income at Current Market Prices","2010","CP09 - Recreation and culture","Euro Million","6088"
"Consumption of Personal Income at Current Market Prices","2010","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","796"
"Consumption of Personal Income at Current Market Prices","2010","CP092 - Other major durables for recreation and culture","Euro Million","10"
"Consumption of Personal Income at Current Market Prices","2010","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","812"
"Consumption of Personal Income at Current Market Prices","2010","CP094 - Recreational and cultural services","Euro Million","2736"
"Consumption of Personal Income at Current Market Prices","2010","CP095 - Newspapers, books and stationery","Euro Million","1173"
"Consumption of Personal Income at Current Market Prices","2010","CP096 - Package holidays","Euro Million","561"
"Consumption of Personal Income at Current Market Prices","2010","CP10 - Education","Euro Million","1306"
"Consumption of Personal Income at Current Market Prices","2010","CP101 - Pre-primary and primary education","Euro Million","125"
"Consumption of Personal Income at Current Market Prices","2010","CP102 - Secondary education","Euro Million","232"
"Consumption of Personal Income at Current Market Prices","2010","CP103 - Post-secondary non-tertiary education","Euro Million","37"
"Consumption of Personal Income at Current Market Prices","2010","CP104 - Tertiary education","Euro Million","719"
"Consumption of Personal Income at Current Market Prices","2010","CP105 - Education not definable by level","Euro Million","193"
"Consumption of Personal Income at Current Market Prices","2010","CP11 - Restaurants and hotels","Euro Million","11011"
"Consumption of Personal Income at Current Market Prices","2010","CP111 - Catering services","Euro Million","9528"
"Consumption of Personal Income at Current Market Prices","2010","CP112 - Accommodation services","Euro Million","1483"
"Consumption of Personal Income at Current Market Prices","2010","CP12 - Miscellaneous goods and services","Euro Million","6375"
"Consumption of Personal Income at Current Market Prices","2010","CP121 - Personal care","Euro Million","2146"
"Consumption of Personal Income at Current Market Prices","2010","CP123 - Personal effects n.e.c.","Euro Million","631"
"Consumption of Personal Income at Current Market Prices","2010","CP124 - Social protection","Euro Million","502"
"Consumption of Personal Income at Current Market Prices","2010","CP125 - Insurance","Euro Million","1033"
"Consumption of Personal Income at Current Market Prices","2010","CP126 - Financial services n.e.c.","Euro Million","1547"
"Consumption of Personal Income at Current Market Prices","2010","CP127 - Other services n.e.c.","Euro Million","431"
"Consumption of Personal Income at Current Market Prices","2010","Households Expenditure on Goods and Services in Ireland","Euro Million","74707"
"Consumption of Personal Income at Current Market Prices","2010","Total Expenditure of Households (National Concept)","Euro Million","76964"
"Consumption of Personal Income at Current Market Prices","2010","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","2138"
"Consumption of Personal Income at Current Market Prices","2010","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","4418"
"Consumption of Personal Income at Current Market Prices","2010","CP141 - Government - Housing","Euro Million","119"
"Consumption of Personal Income at Current Market Prices","2010","CP142 - Government - Health","Euro Million","3459"
"Consumption of Personal Income at Current Market Prices","2010","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2010","CP144 - Government - Education","Euro Million","455"
"Consumption of Personal Income at Current Market Prices","2010","CP145 - Government - Social Protection","Euro Million","384"
"Consumption of Personal Income at Current Market Prices","2010","Expenditure outside the State","Euro Million","5081"
"Consumption of Personal Income at Current Market Prices","2010","Expenditure by non-residents","Euro Million","2824"
"Consumption of Personal Income at Current Market Prices","2010","158. Personal consumption of goods and services at current market prices","Euro Million","83521"
"Consumption of Personal Income at Current Market Prices","2010","159. Taxes on personal income and wealth","Euro Million","22353"
"Consumption of Personal Income at Current Market Prices","2010","160. Total personal expenditure","Euro Million","105873"
"Consumption of Personal Income at Current Market Prices","2010","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","16688"
"Consumption of Personal Income at Current Market Prices","2010","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","100208"
"Consumption of Personal Income at Current Market Prices","2011","CP01 - Food and non-alcoholic beverages","Euro Million","7648"
"Consumption of Personal Income at Current Market Prices","2011","CP011 - Food","Euro Million","6959"
"Consumption of Personal Income at Current Market Prices","2011","CP012 - Non-alcoholic beverages","Euro Million","689"
"Consumption of Personal Income at Current Market Prices","2011","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4650"
"Consumption of Personal Income at Current Market Prices","2011","CP021 - Alcoholic beverages","Euro Million","1774"
"Consumption of Personal Income at Current Market Prices","2011","CP022 - Tobacco","Euro Million","1984"
"Consumption of Personal Income at Current Market Prices","2011","CP023 - Narcotics","Euro Million","892"
"Consumption of Personal Income at Current Market Prices","2011","CP03 - Clothing and footwear","Euro Million","2984"
"Consumption of Personal Income at Current Market Prices","2011","CP031 - Clothing","Euro Million","2471"
"Consumption of Personal Income at Current Market Prices","2011","CP032 - Footwear","Euro Million","513"
"Consumption of Personal Income at Current Market Prices","2011","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","17067"
"Consumption of Personal Income at Current Market Prices","2011","CP041 - Actual rentals for housing","Euro Million","3154"
"Consumption of Personal Income at Current Market Prices","2011","CP042 - Imputed rentals for housing","Euro Million","10184"
"Consumption of Personal Income at Current Market Prices","2011","CP043 - Maintenance and repair of the dwelling","Euro Million","330"
"Consumption of Personal Income at Current Market Prices","2011","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","315"
"Consumption of Personal Income at Current Market Prices","2011","CP045 - Electricity, gas and other fuels","Euro Million","3085"
"Consumption of Personal Income at Current Market Prices","2011","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","3171"
"Consumption of Personal Income at Current Market Prices","2011","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","789"
"Consumption of Personal Income at Current Market Prices","2011","CP052 - Household textiles","Euro Million","315"
"Consumption of Personal Income at Current Market Prices","2011","CP053 - Household appliances","Euro Million","297"
"Consumption of Personal Income at Current Market Prices","2011","CP054 - Glassware, tableware and household utensils","Euro Million","321"
"Consumption of Personal Income at Current Market Prices","2011","CP055 - Tools and equipment for house and garden","Euro Million","140"
"Consumption of Personal Income at Current Market Prices","2011","CP056 - Goods and services for routine household maintenance","Euro Million","1309"
"Consumption of Personal Income at Current Market Prices","2011","CP06 - Health","Euro Million","3586"
"Consumption of Personal Income at Current Market Prices","2011","CP061 - Medical products, appliances and equipment","Euro Million","717"
"Consumption of Personal Income at Current Market Prices","2011","CP062 - Out-patient services","Euro Million","1037"
"Consumption of Personal Income at Current Market Prices","2011","CP063 - Hospital services","Euro Million","1833"
"Consumption of Personal Income at Current Market Prices","2011","CP07 - Transport","Euro Million","9571"
"Consumption of Personal Income at Current Market Prices","2011","CP071 - Purchase of vehicles","Euro Million","2378"
"Consumption of Personal Income at Current Market Prices","2011","CP072 - Operation of personal transport equipment","Euro Million","4981"
"Consumption of Personal Income at Current Market Prices","2011","CP073 - Transport services","Euro Million","2213"
"Consumption of Personal Income at Current Market Prices","2011","CP08 - Communications","Euro Million","2209"
"Consumption of Personal Income at Current Market Prices","2011","CP081 - Postal services","Euro Million","66"
"Consumption of Personal Income at Current Market Prices","2011","CP082 - Telephone and telefax equipment","Euro Million","113"
"Consumption of Personal Income at Current Market Prices","2011","CP083 - Telephone and telefax services","Euro Million","2030"
"Consumption of Personal Income at Current Market Prices","2011","CP09 - Recreation and culture","Euro Million","5799"
"Consumption of Personal Income at Current Market Prices","2011","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","690"
"Consumption of Personal Income at Current Market Prices","2011","CP092 - Other major durables for recreation and culture","Euro Million","9"
"Consumption of Personal Income at Current Market Prices","2011","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","856"
"Consumption of Personal Income at Current Market Prices","2011","CP094 - Recreational and cultural services","Euro Million","2616"
"Consumption of Personal Income at Current Market Prices","2011","CP095 - Newspapers, books and stationery","Euro Million","1077"
"Consumption of Personal Income at Current Market Prices","2011","CP096 - Package holidays","Euro Million","552"
"Consumption of Personal Income at Current Market Prices","2011","CP10 - Education","Euro Million","1317"
"Consumption of Personal Income at Current Market Prices","2011","CP101 - Pre-primary and primary education","Euro Million","131"
"Consumption of Personal Income at Current Market Prices","2011","CP102 - Secondary education","Euro Million","215"
"Consumption of Personal Income at Current Market Prices","2011","CP103 - Post-secondary non-tertiary education","Euro Million","29"
"Consumption of Personal Income at Current Market Prices","2011","CP104 - Tertiary education","Euro Million","767"
"Consumption of Personal Income at Current Market Prices","2011","CP105 - Education not definable by level","Euro Million","175"
"Consumption of Personal Income at Current Market Prices","2011","CP11 - Restaurants and hotels","Euro Million","10538"
"Consumption of Personal Income at Current Market Prices","2011","CP111 - Catering services","Euro Million","9229"
"Consumption of Personal Income at Current Market Prices","2011","CP112 - Accommodation services","Euro Million","1310"
"Consumption of Personal Income at Current Market Prices","2011","CP12 - Miscellaneous goods and services","Euro Million","6136"
"Consumption of Personal Income at Current Market Prices","2011","CP121 - Personal care","Euro Million","2458"
"Consumption of Personal Income at Current Market Prices","2011","CP123 - Personal effects n.e.c.","Euro Million","453"
"Consumption of Personal Income at Current Market Prices","2011","CP124 - Social protection","Euro Million","521"
"Consumption of Personal Income at Current Market Prices","2011","CP125 - Insurance","Euro Million","867"
"Consumption of Personal Income at Current Market Prices","2011","CP126 - Financial services n.e.c.","Euro Million","1329"
"Consumption of Personal Income at Current Market Prices","2011","CP127 - Other services n.e.c.","Euro Million","421"
"Consumption of Personal Income at Current Market Prices","2011","Households Expenditure on Goods and Services in Ireland","Euro Million","74675"
"Consumption of Personal Income at Current Market Prices","2011","Total Expenditure of Households (National Concept)","Euro Million","76509"
"Consumption of Personal Income at Current Market Prices","2011","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","2119"
"Consumption of Personal Income at Current Market Prices","2011","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","4471"
"Consumption of Personal Income at Current Market Prices","2011","CP141 - Government - Housing","Euro Million","143"
"Consumption of Personal Income at Current Market Prices","2011","CP142 - Government - Health","Euro Million","3409"
"Consumption of Personal Income at Current Market Prices","2011","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2011","CP144 - Government - Education","Euro Million","519"
"Consumption of Personal Income at Current Market Prices","2011","CP145 - Government - Social Protection","Euro Million","401"
"Consumption of Personal Income at Current Market Prices","2011","Expenditure outside the State","Euro Million","4511"
"Consumption of Personal Income at Current Market Prices","2011","Expenditure by non-residents","Euro Million","2678"
"Consumption of Personal Income at Current Market Prices","2011","158. Personal consumption of goods and services at current market prices","Euro Million","83098"
"Consumption of Personal Income at Current Market Prices","2011","159. Taxes on personal income and wealth","Euro Million","24379"
"Consumption of Personal Income at Current Market Prices","2011","160. Total personal expenditure","Euro Million","107477"
"Consumption of Personal Income at Current Market Prices","2011","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","16955"
"Consumption of Personal Income at Current Market Prices","2011","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","100053"
"Consumption of Personal Income at Current Market Prices","2012","CP01 - Food and non-alcoholic beverages","Euro Million","7976"
"Consumption of Personal Income at Current Market Prices","2012","CP011 - Food","Euro Million","7254"
"Consumption of Personal Income at Current Market Prices","2012","CP012 - Non-alcoholic beverages","Euro Million","722"
"Consumption of Personal Income at Current Market Prices","2012","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4546"
"Consumption of Personal Income at Current Market Prices","2012","CP021 - Alcoholic beverages","Euro Million","1765"
"Consumption of Personal Income at Current Market Prices","2012","CP022 - Tobacco","Euro Million","1898"
"Consumption of Personal Income at Current Market Prices","2012","CP023 - Narcotics","Euro Million","884"
"Consumption of Personal Income at Current Market Prices","2012","CP03 - Clothing and footwear","Euro Million","3031"
"Consumption of Personal Income at Current Market Prices","2012","CP031 - Clothing","Euro Million","2499"
"Consumption of Personal Income at Current Market Prices","2012","CP032 - Footwear","Euro Million","532"
"Consumption of Personal Income at Current Market Prices","2012","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","17425"
"Consumption of Personal Income at Current Market Prices","2012","CP041 - Actual rentals for housing","Euro Million","3176"
"Consumption of Personal Income at Current Market Prices","2012","CP042 - Imputed rentals for housing","Euro Million","10255"
"Consumption of Personal Income at Current Market Prices","2012","CP043 - Maintenance and repair of the dwelling","Euro Million","312"
"Consumption of Personal Income at Current Market Prices","2012","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","329"
"Consumption of Personal Income at Current Market Prices","2012","CP045 - Electricity, gas and other fuels","Euro Million","3352"
"Consumption of Personal Income at Current Market Prices","2012","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","3315"
"Consumption of Personal Income at Current Market Prices","2012","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","811"
"Consumption of Personal Income at Current Market Prices","2012","CP052 - Household textiles","Euro Million","274"
"Consumption of Personal Income at Current Market Prices","2012","CP053 - Household appliances","Euro Million","297"
"Consumption of Personal Income at Current Market Prices","2012","CP054 - Glassware, tableware and household utensils","Euro Million","318"
"Consumption of Personal Income at Current Market Prices","2012","CP055 - Tools and equipment for house and garden","Euro Million","137"
"Consumption of Personal Income at Current Market Prices","2012","CP056 - Goods and services for routine household maintenance","Euro Million","1477"
"Consumption of Personal Income at Current Market Prices","2012","CP06 - Health","Euro Million","4259"
"Consumption of Personal Income at Current Market Prices","2012","CP061 - Medical products, appliances and equipment","Euro Million","727"
"Consumption of Personal Income at Current Market Prices","2012","CP062 - Out-patient services","Euro Million","1187"
"Consumption of Personal Income at Current Market Prices","2012","CP063 - Hospital services","Euro Million","2346"
"Consumption of Personal Income at Current Market Prices","2012","CP07 - Transport","Euro Million","9724"
"Consumption of Personal Income at Current Market Prices","2012","CP071 - Purchase of vehicles","Euro Million","2184"
"Consumption of Personal Income at Current Market Prices","2012","CP072 - Operation of personal transport equipment","Euro Million","5226"
"Consumption of Personal Income at Current Market Prices","2012","CP073 - Transport services","Euro Million","2313"
"Consumption of Personal Income at Current Market Prices","2012","CP08 - Communications","Euro Million","2108"
"Consumption of Personal Income at Current Market Prices","2012","CP081 - Postal services","Euro Million","63"
"Consumption of Personal Income at Current Market Prices","2012","CP082 - Telephone and telefax equipment","Euro Million","139"
"Consumption of Personal Income at Current Market Prices","2012","CP083 - Telephone and telefax services","Euro Million","1905"
"Consumption of Personal Income at Current Market Prices","2012","CP09 - Recreation and culture","Euro Million","5633"
"Consumption of Personal Income at Current Market Prices","2012","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","663"
"Consumption of Personal Income at Current Market Prices","2012","CP092 - Other major durables for recreation and culture","Euro Million","7"
"Consumption of Personal Income at Current Market Prices","2012","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","822"
"Consumption of Personal Income at Current Market Prices","2012","CP094 - Recreational and cultural services","Euro Million","2600"
"Consumption of Personal Income at Current Market Prices","2012","CP095 - Newspapers, books and stationery","Euro Million","973"
"Consumption of Personal Income at Current Market Prices","2012","CP096 - Package holidays","Euro Million","568"
"Consumption of Personal Income at Current Market Prices","2012","CP10 - Education","Euro Million","1337"
"Consumption of Personal Income at Current Market Prices","2012","CP101 - Pre-primary and primary education","Euro Million","136"
"Consumption of Personal Income at Current Market Prices","2012","CP102 - Secondary education","Euro Million","201"
"Consumption of Personal Income at Current Market Prices","2012","CP103 - Post-secondary non-tertiary education","Euro Million","25"
"Consumption of Personal Income at Current Market Prices","2012","CP104 - Tertiary education","Euro Million","804"
"Consumption of Personal Income at Current Market Prices","2012","CP105 - Education not definable by level","Euro Million","171"
"Consumption of Personal Income at Current Market Prices","2012","CP11 - Restaurants and hotels","Euro Million","10520"
"Consumption of Personal Income at Current Market Prices","2012","CP111 - Catering services","Euro Million","9314"
"Consumption of Personal Income at Current Market Prices","2012","CP112 - Accommodation services","Euro Million","1206"
"Consumption of Personal Income at Current Market Prices","2012","CP12 - Miscellaneous goods and services","Euro Million","5472"
"Consumption of Personal Income at Current Market Prices","2012","CP121 - Personal care","Euro Million","2205"
"Consumption of Personal Income at Current Market Prices","2012","CP123 - Personal effects n.e.c.","Euro Million","477"
"Consumption of Personal Income at Current Market Prices","2012","CP124 - Social protection","Euro Million","547"
"Consumption of Personal Income at Current Market Prices","2012","CP125 - Insurance","Euro Million","488"
"Consumption of Personal Income at Current Market Prices","2012","CP126 - Financial services n.e.c.","Euro Million","1222"
"Consumption of Personal Income at Current Market Prices","2012","CP127 - Other services n.e.c.","Euro Million","444"
"Consumption of Personal Income at Current Market Prices","2012","Households Expenditure on Goods and Services in Ireland","Euro Million","75345"
"Consumption of Personal Income at Current Market Prices","2012","Total Expenditure of Households (National Concept)","Euro Million","76893"
"Consumption of Personal Income at Current Market Prices","2012","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","2039"
"Consumption of Personal Income at Current Market Prices","2012","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","4810"
"Consumption of Personal Income at Current Market Prices","2012","CP141 - Government - Housing","Euro Million","163"
"Consumption of Personal Income at Current Market Prices","2012","CP142 - Government - Health","Euro Million","3638"
"Consumption of Personal Income at Current Market Prices","2012","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2012","CP144 - Government - Education","Euro Million","623"
"Consumption of Personal Income at Current Market Prices","2012","CP145 - Government - Social Protection","Euro Million","387"
"Consumption of Personal Income at Current Market Prices","2012","Expenditure outside the State","Euro Million","4256"
"Consumption of Personal Income at Current Market Prices","2012","Expenditure by non-residents","Euro Million","2708"
"Consumption of Personal Income at Current Market Prices","2012","158. Personal consumption of goods and services at current market prices","Euro Million","83742"
"Consumption of Personal Income at Current Market Prices","2012","159. Taxes on personal income and wealth","Euro Million","25153"
"Consumption of Personal Income at Current Market Prices","2012","160. Total personal expenditure","Euro Million","108896"
"Consumption of Personal Income at Current Market Prices","2012","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","16309"
"Consumption of Personal Income at Current Market Prices","2012","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","100051"
"Consumption of Personal Income at Current Market Prices","2013","CP01 - Food and non-alcoholic beverages","Euro Million","8113"
"Consumption of Personal Income at Current Market Prices","2013","CP011 - Food","Euro Million","7313"
"Consumption of Personal Income at Current Market Prices","2013","CP012 - Non-alcoholic beverages","Euro Million","800"
"Consumption of Personal Income at Current Market Prices","2013","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4200"
"Consumption of Personal Income at Current Market Prices","2013","CP021 - Alcoholic beverages","Euro Million","1642"
"Consumption of Personal Income at Current Market Prices","2013","CP022 - Tobacco","Euro Million","1647"
"Consumption of Personal Income at Current Market Prices","2013","CP023 - Narcotics","Euro Million","911"
"Consumption of Personal Income at Current Market Prices","2013","CP03 - Clothing and footwear","Euro Million","3023"
"Consumption of Personal Income at Current Market Prices","2013","CP031 - Clothing","Euro Million","2495"
"Consumption of Personal Income at Current Market Prices","2013","CP032 - Footwear","Euro Million","528"
"Consumption of Personal Income at Current Market Prices","2013","CP04 - Housing, water, electricity, gas and other fuels","Euro Million","17978"
"Consumption of Personal Income at Current Market Prices","2013","CP041 - Actual rentals for housing","Euro Million","3284"
"Consumption of Personal Income at Current Market Prices","2013","CP042 - Imputed rentals for housing","Euro Million","10617"
"Consumption of Personal Income at Current Market Prices","2013","CP043 - Maintenance and repair of the dwelling","Euro Million","290"
"Consumption of Personal Income at Current Market Prices","2013","CP044 - Water supply and miscellaneous services relating to the dwelling","Euro Million","343"
"Consumption of Personal Income at Current Market Prices","2013","CP045 - Electricity, gas and other fuels","Euro Million","3445"
"Consumption of Personal Income at Current Market Prices","2013","CP05 - Furnishings, household equipment and routine household maintenance","Euro Million","3341"
"Consumption of Personal Income at Current Market Prices","2013","CP051 - Furniture and furnishings, carpets and other floor coverings","Euro Million","807"
"Consumption of Personal Income at Current Market Prices","2013","CP052 - Household textiles","Euro Million","265"
"Consumption of Personal Income at Current Market Prices","2013","CP053 - Household appliances","Euro Million","288"
"Consumption of Personal Income at Current Market Prices","2013","CP054 - Glassware, tableware and household utensils","Euro Million","355"
"Consumption of Personal Income at Current Market Prices","2013","CP055 - Tools and equipment for house and garden","Euro Million","134"
"Consumption of Personal Income at Current Market Prices","2013","CP056 - Goods and services for routine household maintenance","Euro Million","1492"
"Consumption of Personal Income at Current Market Prices","2013","CP06 - Health","Euro Million","4052"
"Consumption of Personal Income at Current Market Prices","2013","CP061 - Medical products, appliances and equipment","Euro Million","716"
"Consumption of Personal Income at Current Market Prices","2013","CP062 - Out-patient services","Euro Million","1264"
"Consumption of Personal Income at Current Market Prices","2013","CP063 - Hospital services","Euro Million","2072"
"Consumption of Personal Income at Current Market Prices","2013","CP07 - Transport","Euro Million","9663"
"Consumption of Personal Income at Current Market Prices","2013","CP071 - Purchase of vehicles","Euro Million","2220"
"Consumption of Personal Income at Current Market Prices","2013","CP072 - Operation of personal transport equipment","Euro Million","5031"
"Consumption of Personal Income at Current Market Prices","2013","CP073 - Transport services","Euro Million","2412"
"Consumption of Personal Income at Current Market Prices","2013","CP08 - Communications","Euro Million","2132"
"Consumption of Personal Income at Current Market Prices","2013","CP081 - Postal services","Euro Million","65"
"Consumption of Personal Income at Current Market Prices","2013","CP082 - Telephone and telefax equipment","Euro Million","171"
"Consumption of Personal Income at Current Market Prices","2013","CP083 - Telephone and telefax services","Euro Million","1896"
"Consumption of Personal Income at Current Market Prices","2013","CP09 - Recreation and culture","Euro Million","5717"
"Consumption of Personal Income at Current Market Prices","2013","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","589"
"Consumption of Personal Income at Current Market Prices","2013","CP092 - Other major durables for recreation and culture","Euro Million","8"
"Consumption of Personal Income at Current Market Prices","2013","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","948"
"Consumption of Personal Income at Current Market Prices","2013","CP094 - Recreational and cultural services","Euro Million","2704"
"Consumption of Personal Income at Current Market Prices","2013","CP095 - Newspapers, books and stationery","Euro Million","880"
"Consumption of Personal Income at Current Market Prices","2013","CP096 - Package holidays","Euro Million","587"
"Consumption of Personal Income at Current Market Prices","2013","CP10 - Education","Euro Million","1404"
"Consumption of Personal Income at Current Market Prices","2013","CP101 - Pre-primary and primary education","Euro Million","140"
"Consumption of Personal Income at Current Market Prices","2013","CP102 - Secondary education","Euro Million","191"
"Consumption of Personal Income at Current Market Prices","2013","CP103 - Post-secondary non-tertiary education","Euro Million","22"
"Consumption of Personal Income at Current Market Prices","2013","CP104 - Tertiary education","Euro Million","891"
"Consumption of Personal Income at Current Market Prices","2013","CP105 - Education not definable by level","Euro Million","160"
"Consumption of Personal Income at Current Market Prices","2013","CP11 - Restaurants and hotels","Euro Million","11296"
"Consumption of Personal Income at Current Market Prices","2013","CP111 - Catering services","Euro Million","9756"
"Consumption of Personal Income at Current Market Prices","2013","CP112 - Accommodation services","Euro Million","1540"
"Consumption of Personal Income at Current Market Prices","2013","CP12 - Miscellaneous goods and services","Euro Million","6250"
"Consumption of Personal Income at Current Market Prices","2013","CP121 - Personal care","Euro Million","1830"
"Consumption of Personal Income at Current Market Prices","2013","CP123 - Personal effects n.e.c.","Euro Million","467"
"Consumption of Personal Income at Current Market Prices","2013","CP124 - Social protection","Euro Million","592"
"Consumption of Personal Income at Current Market Prices","2013","CP125 - Insurance","Euro Million","1264"
"Consumption of Personal Income at Current Market Prices","2013","CP126 - Financial services n.e.c.","Euro Million","1543"
"Consumption of Personal Income at Current Market Prices","2013","CP127 - Other services n.e.c.","Euro Million","464"
"Consumption of Personal Income at Current Market Prices","2013","Households Expenditure on Goods and Services in Ireland","Euro Million","77170"
"Consumption of Personal Income at Current Market Prices","2013","Total Expenditure of Households (National Concept)","Euro Million","78247"
"Consumption of Personal Income at Current Market Prices","2013","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","2015"
"Consumption of Personal Income at Current Market Prices","2013","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","4571"
"Consumption of Personal Income at Current Market Prices","2013","CP141 - Government - Housing","Euro Million","178"
"Consumption of Personal Income at Current Market Prices","2013","CP142 - Government - Health","Euro Million","3448"
"Consumption of Personal Income at Current Market Prices","2013","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","2013","CP144 - Government - Education","Euro Million","616"
"Consumption of Personal Income at Current Market Prices","2013","CP145 - Government - Social Protection","Euro Million","330"
"Consumption of Personal Income at Current Market Prices","2013","Expenditure outside the State","Euro Million","4282"
"Consumption of Personal Income at Current Market Prices","2013","Expenditure by non-residents","Euro Million","3204"
"Consumption of Personal Income at Current Market Prices","2013","158. Personal consumption of goods and services at current market prices","Euro Million","84834"
"Consumption of Personal Income at Current Market Prices","2013","159. Taxes on personal income and wealth","Euro Million","26024"
"Consumption of Personal Income at Current Market Prices","2013","160. Total personal expenditure","Euro Million","110858"
"Consumption of Personal Income at Current Market Prices","2013","160.1 General Government expenditure on goods and services provided to Households (= Social transfers in kind via non-market production by Government D631)","Euro Million","16019"
"Consumption of Personal Income at Current Market Prices","2013","160.2 Actual Individual Consumption at current market prices (= items 158 + 160.1)","Euro Million","100853"
"Consumption of Personal Income at Current Market Prices","2014","CP01 - Food and non-alcoholic beverages","Euro Million","7836"
