"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","1998","CP091 - Audio-visual, photographic and information processing equipment","Euro Million","421"
"Consumption of Personal Income at Current Market Prices","1998","CP092 - Other major durables for recreation and culture","Euro Million","10"
"Consumption of Personal Income at Current Market Prices","1998","CP093 - Other recreational items and equipment, gardens and pets","Euro Million","542"
"Consumption of Personal Income at Current Market Prices","1998","CP094 - Recreational and cultural services","Euro Million","1151"
"Consumption of Personal Income at Current Market Prices","1998","CP095 - Newspapers, books and stationery","Euro Million","582"
"Consumption of Personal Income at Current Market Prices","1998","CP096 - Package holidays","Euro Million","149"
"Consumption of Personal Income at Current Market Prices","1998","CP10 - Education","Euro Million","384"
"Consumption of Personal Income at Current Market Prices","1998","CP101 - Pre-primary and primary education","Euro Million","41"
"Consumption of Personal Income at Current Market Prices","1998","CP102 - Secondary education","Euro Million","62"
"Consumption of Personal Income at Current Market Prices","1998","CP103 - Post-secondary non-tertiary education","Euro Million","16"
"Consumption of Personal Income at Current Market Prices","1998","CP104 - Tertiary education","Euro Million","168"
"Consumption of Personal Income at Current Market Prices","1998","CP105 - Education not definable by level","Euro Million","97"
"Consumption of Personal Income at Current Market Prices","1998","CP11 - Restaurants and hotels","Euro Million","5769"
"Consumption of Personal Income at Current Market Prices","1998","CP111 - Catering services","Euro Million","5171"
"Consumption of Personal Income at Current Market Prices","1998","CP112 - Accommodation services","Euro Million","598"
"Consumption of Personal Income at Current Market Prices","1998","CP12 - Miscellaneous goods and services","Euro Million","3875"
"Consumption of Personal Income at Current Market Prices","1998","CP121 - Personal care","Euro Million","993"
"Consumption of Personal Income at Current Market Prices","1998","CP123 - Personal effects n.e.c.","Euro Million","317"
"Consumption of Personal Income at Current Market Prices","1998","CP124 - Social protection","Euro Million","178"
"Consumption of Personal Income at Current Market Prices","1998","CP125 - Insurance","Euro Million","999"
"Consumption of Personal Income at Current Market Prices","1998","CP126 - Financial services n.e.c.","Euro Million","1142"
"Consumption of Personal Income at Current Market Prices","1998","CP127 - Other services n.e.c.","Euro Million","195"
"Consumption of Personal Income at Current Market Prices","1998","Households Expenditure on Goods and Services in Ireland","Euro Million","38746"
"Consumption of Personal Income at Current Market Prices","1998","Total Expenditure of Households (National Concept)","Euro Million","38483"
"Consumption of Personal Income at Current Market Prices","1998","CP13 - Expenditure of NPISH on goods and services provided to households (P31)","Euro Million","582"
"Consumption of Personal Income at Current Market Prices","1998","CP14 - General Government expenditure on goods and services provided to Households","Euro Million","913"
"Consumption of Personal Income at Current Market Prices","1998","CP141 - Government - Housing","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1998","CP142 - Government - Health","Euro Million","619"
"Consumption of Personal Income at Current Market Prices","1998","CP143 - Government - Recreation & Culture","Euro Million","0"
"Consumption of Personal Income at Current Market Prices","1998","CP144 - Government - Education","Euro Million","157"
"Consumption of Personal Income at Current Market Prices","1998","CP145 - Government - Social Protection","Euro Million","138"
"Consumption of Personal Income at Current Market Prices","1998","Expenditure outside the State","Euro Million","1722"
