"Statistic Label","Year","NUTS 2 Region","UNIT","VALUE"
"Total Household Income","2003","Ireland","Euro Million","85809.4395972"
"Total Household Income","2003","Northern & Western","Euro Million","13019.6980106711"
"Total Household Income","2003","Southern","Euro Million","27809.7982312683"
"Total Household Income","2003","Eastern & Midland","Euro Million","44979.9433552606"
"Total Household Income","2004","Ireland","Euro Million","93169.9035734"
"Total Household Income","2004","Northern & Western","Euro Million","14117.4666861411"
"Total Household Income","2004","Southern","Euro Million","30451.3150746667"
"Total Household Income","2004","Eastern & Midland","Euro Million","48601.1218125921"
"Total Household Income","2005","Ireland","Euro Million","102828.7594443"
"Total Household Income","2005","Northern & Western","Euro Million","15456.1485033205"
"Total Household Income","2005","Southern","Euro Million","33844.357721783"
"Total Household Income","2005","Eastern & Midland","Euro Million","53528.2532191965"
"Total Household Income","2006","Ireland","Euro Million","111318.8178334"
"Total Household Income","2006","Northern & Western","Euro Million","16703.6026013929"
"Total Household Income","2006","Southern","Euro Million","36478.9720079705"
"Total Household Income","2006","Eastern & Midland","Euro Million","58136.2432240366"
"Total Household Income","2007","Ireland","Euro Million","122062.1251922"
"Total Household Income","2007","Northern & Western","Euro Million","18567.2319567613"
"Total Household Income","2007","Southern","Euro Million","39884.897050229"
"Total Household Income","2007","Eastern & Midland","Euro Million","63609.9961852096"
"Total Household Income","2008","Ireland","Euro Million","127138.4768856"
"Total Household Income","2008","Northern & Western","Euro Million","19363.0328448267"
"Total Household Income","2008","Southern","Euro Million","41422.4413301567"
"Total Household Income","2008","Eastern & Midland","Euro Million","66353.0027106167"
"Total Household Income","2009","Ireland","Euro Million","120802.7078565"
"Total Household Income","2009","Northern & Western","Euro Million","19106.6870740893"
"Total Household Income","2009","Southern","Euro Million","39499.6409507457"
"Total Household Income","2009","Eastern & Midland","Euro Million","62196.379831665"
"Total Household Income","2010","Ireland","Euro Million","115478.0603396"
"Total Household Income","2010","Northern & Western","Euro Million","18183.210476189"
"Total Household Income","2010","Southern","Euro Million","37804.1170931147"
"Total Household Income","2010","Eastern & Midland","Euro Million","59490.7327702964"
"Total Household Income","2011","Ireland","Euro Million","116342.1571495"
"Total Household Income","2011","Northern & Western","Euro Million","18681.9674340915"
"Total Household Income","2011","Southern","Euro Million","38026.9859880914"
"Total Household Income","2011","Eastern & Midland","Euro Million","59633.2037273171"
"Total Household Income","2012","Ireland","Euro Million","120367.4653508"
"Total Household Income","2012","Northern & Western","Euro Million","19173.3302069144"
"Total Household Income","2012","Southern","Euro Million","39540.0435030945"
"Total Household Income","2012","Eastern & Midland","Euro Million","61654.0916407912"
"Total Household Income","2013","Ireland","Euro Million","120892.055775009"
"Total Household Income","2013","Northern & Western","Euro Million","19240.5859435157"
"Total Household Income","2013","Southern","Euro Million","39449.4769780038"
"Total Household Income","2013","Eastern & Midland","Euro Million","62201.9928534893"
"Total Household Income","2014","Ireland","Euro Million","124228.029181492"
"Total Household Income","2014","Northern & Western","Euro Million","19741.3811438291"
"Total Household Income","2014","Southern","Euro Million","40496.2341933968"
"Total Household Income","2014","Eastern & Midland","Euro Million","63990.413844266"
"Total Household Income","2015","Ireland","Euro Million","131530.704504539"
"Total Household Income","2015","Northern & Western","Euro Million","20707.5937878478"
"Total Household Income","2015","Southern","Euro Million","42627.052413657"
"Total Household Income","2015","Eastern & Midland","Euro Million","68196.0583030342"
"Total Household Income","2016","Ireland","Euro Million","137022.498342506"
"Total Household Income","2016","Northern & Western","Euro Million","21297.3459937007"
"Total Household Income","2016","Southern","Euro Million","44018.9252748522"
"Total Household Income","2016","Eastern & Midland","Euro Million","71706.2270739531"
"Total Household Income","2017","Ireland","Euro Million","146207.796702756"
"Total Household Income","2017","Northern & Western","Euro Million","22550.790742171"
"Total Household Income","2017","Southern","Euro Million","47006.3472012297"
"Total Household Income","2017","Eastern & Midland","Euro Million","76650.6587593549"
"Total Household Income","2018","Ireland","Euro Million","152923.4383511"
"Total Household Income","2018","Northern & Western","Euro Million","23566.6005612108"
"Total Household Income","2018","Southern","Euro Million","48624.405689862"
"Total Household Income","2018","Eastern & Midland","Euro Million","80732.4321000272"
"Total Household Income","2019","Ireland","Euro Million","163803.0978887"
"Total Household Income","2019","Northern & Western","Euro Million","25004.3939221656"
"Total Household Income","2019","Southern","Euro Million","51573.7688843667"
"Total Household Income","2019","Eastern & Midland","Euro Million","87224.9350821678"
"Total Household Income","2020","Ireland","Euro Million","168836.232671848"
"Total Household Income","2020","Northern & Western","Euro Million","26341.5801034239"
"Total Household Income","2020","Southern","Euro Million","53261.6979529398"
"Total Household Income","2020","Eastern & Midland","Euro Million","89232.9546154841"
"Total Household Income","2021","Ireland","Euro Million","182922.3257684"
"Total Household Income","2021","Northern & Western","Euro Million","27753.3509271555"
"Total Household Income","2021","Southern","Euro Million","57097.511578951"
"Total Household Income","2021","Eastern & Midland","Euro Million","98071.4632622933"
"Total Household Income","2022","Ireland","Euro Million","199879.71827596"
"Total Household Income","2022","Northern & Western","Euro Million","30136.1277553445"
"Total Household Income","2022","Southern","Euro Million","62237.0620336609"
"Total Household Income","2022","Eastern & Midland","Euro Million","107506.528486955"
"Total Household Income","2023","Ireland","Euro Million","217445.960996065"
"Total Household Income","2023","Northern & Western","Euro Million","32775.9044107366"
"Total Household Income","2023","Southern","Euro Million","67338.2492300469"
"Total Household Income","2023","Eastern & Midland","Euro Million","117331.807355281"
"Total Household Income","2024","Ireland","Euro Million","235374.566698011"
"Total Household Income","2024","Northern & Western","Euro Million","35458.7314417118"
"Total Household Income","2024","Southern","Euro Million","72802.6473399041"
"Total Household Income","2024","Eastern & Midland","Euro Million","127113.187916395"
"Total Income per Person","2000","Ireland","Euro","17561.1016391761"
"Total Income per Person","2000","Northern & Western","Euro","14978.0860318187"
"Total Income per Person","2000","Southern","Euro","16428.7832007778"
"Total Income per Person","2000","Eastern & Midland","Euro","19348.6153744456"
"Total Income per Person","2001","Ireland","Euro","19486.7393587497"
"Total Income per Person","2001","Northern & Western","Euro","16666.5864857673"
"Total Income per Person","2001","Southern","Euro","18249.226372352"
"Total Income per Person","2001","Eastern & Midland","Euro","21431.2668899421"
"Total Income per Person","2002","Ireland","Euro","20201.6251806824"
"Total Income per Person","2002","Northern & Western","Euro","17037.1651066224"
"Total Income per Person","2002","Southern","Euro","18936.0141016524"
"Total Income per Person","2002","Eastern & Midland","Euro","22306.2925756236"
"Total Income per Person","2003","Ireland","Euro","21468.492062215"
"Total Income per Person","2003","Northern & Western","Euro","17929.2326765175"
"Total Income per Person","2003","Southern","Euro","20356.3218693513"
"Total Income per Person","2003","Eastern & Midland","Euro","23615.5811664934"
"Total Income per Person","2004","Ireland","Euro","22906.806279792"
"Total Income per Person","2004","Northern & Western","Euro","18987.0097863908"
"Total Income per Person","2004","Southern","Euro","21938.7053530274"
"Total Income per Person","2004","Eastern & Midland","Euro","25106.5427859705"
"Total Income per Person","2005","Ireland","Euro","24718.4000056356"
"Total Income per Person","2005","Northern & Western","Euro","20376.9785943888"
"Total Income per Person","2005","Southern","Euro","23850.4855767075"
"Total Income per Person","2005","Eastern & Midland","Euro","27000.6979498076"
"Total Income per Person","2006","Ireland","Euro","26071.0638969872"
"Total Income per Person","2006","Northern & Western","Euro","21917.6136239329"
"Total Income per Person","2006","Southern","Euro","25163.7380460934"
"Total Income per Person","2006","Eastern & Midland","Euro","28248.2213310487"
"Total Income per Person","2007","Ireland","Euro","27740.2328941543"
"Total Income per Person","2007","Northern & Western","Euro","24131.3600587153"
"Total Income per Person","2007","Southern","Euro","26787.2050688689"
"Total Income per Person","2007","Eastern & Midland","Euro","29699.2163639796"
"Total Income per Person","2008","Ireland","Euro","28277.9302480997"
"Total Income per Person","2008","Northern & Western","Euro","24705.7446179264"
"Total Income per Person","2008","Southern","Euro","27200.0191992166"
"Total Income per Person","2008","Eastern & Midland","Euro","30306.4371672263"
"Total Income per Person","2009","Ireland","Euro","26613.4592390731"
"Total Income per Person","2009","Northern & Western","Euro","23394.3733787277"
"Total Income per Person","2009","Southern","Euro","25747.8889941742"
"Total Income per Person","2009","Eastern & Midland","Euro","28421.6577140976"
"Total Income per Person","2010","Ireland","Euro","25325.4206380249"
"Total Income per Person","2010","Northern & Western","Euro","22309.6730897618"
"Total Income per Person","2010","Southern","Euro","24573.7187580529"
"Total Income per Person","2010","Eastern & Midland","Euro","26963.5947063149"
"Total Income per Person","2011","Ireland","Euro","25410.3001771337"
"Total Income per Person","2011","Northern & Western","Euro","22777.9369412669"
"Total Income per Person","2011","Southern","Euro","24665.8436703467"
"Total Income per Person","2011","Eastern & Midland","Euro","26902.0475806747"
"Total Income per Person","2012","Ireland","Euro","26181.4148469912"
"Total Income per Person","2012","Northern & Western","Euro","23028.8472805193"
"Total Income per Person","2012","Southern","Euro","25495.2969010667"
"Total Income per Person","2012","Eastern & Midland","Euro","27847.5713953437"
"Total Income per Person","2013","Ireland","Euro","26166.87480674"
"Total Income per Person","2013","Northern & Western","Euro","23052.96108366"
"Total Income per Person","2013","Southern","Euro","25299.6412131455"
"Total Income per Person","2013","Eastern & Midland","Euro","27941.8054105101"
"Total Income per Person","2014","Ireland","Euro","26701.5773670246"
"Total Income per Person","2014","Northern & Western","Euro","23680.7163865932"
"Total Income per Person","2014","Southern","Euro","25872.8719983473"
"Total Income per Person","2014","Eastern & Midland","Euro","28394.6039975109"
"Total Income per Person","2015","Ireland","Euro","28010.4481893009"
"Total Income per Person","2015","Northern & Western","Euro","24785.6903014318"
"Total Income per Person","2015","Southern","Euro","27153.4933191239"
"Total Income per Person","2015","Eastern & Midland","Euro","29774.0605745179"
"Total Income per Person","2016","Ireland","Euro","28831.8830621741"
"Total Income per Person","2016","Northern & Western","Euro","25249.6427092807"
"Total Income per Person","2016","Southern","Euro","27814.9365261192"
"Total Income per Person","2016","Eastern & Midland","Euro","30822.4445143975"
"Total Income per Person","2017","Ireland","Euro","30326.7568440791"
"Total Income per Person","2017","Northern & Western","Euro","26374.8082538812"
"Total Income per Person","2017","Southern","Euro","29311.4818936257"
"Total Income per Person","2017","Eastern & Midland","Euro","32446.285512941"
"Total Income per Person","2018","Ireland","Euro","31270.087333276"
"Total Income per Person","2018","Northern & Western","Euro","27239.6572315027"
"Total Income per Person","2018","Southern","Euro","29925.6116758999"
"Total Income per Person","2018","Eastern & Midland","Euro","33632.8203192815"
"Total Income per Person","2019","Ireland","Euro","32975.2123672621"
"Total Income per Person","2019","Northern & Western","Euro","28534.7812633215"
"Total Income per Person","2019","Southern","Euro","31304.6593518734"
"Total Income per Person","2019","Eastern & Midland","Euro","35693.7289916745"
"Total Income per Person","2020","Ireland","Euro","33536.3138007228"
"Total Income per Person","2020","Northern & Western","Euro","29737.3640474092"
"Total Income per Person","2020","Southern","Euro","31933.0865200719"
"Total Income per Person","2020","Eastern & Midland","Euro","35970.7755149983"
"Total Income per Person","2021","Ireland","Euro","35924.5456204509"
"Total Income per Person","2021","Northern & Western","Euro","31012.1373299226"
"Total Income per Person","2021","Southern","Euro","33921.340693348"
"Total Income per Person","2021","Eastern & Midland","Euro","39014.842490334"
"Total Income per Person","2022","Ireland","Euro","38440.2831726564"
"Total Income per Person","2022","Northern & Western","Euro","32983.908980893"
"Total Income per Person","2022","Southern","Euro","36229.2088987882"
"Total Income per Person","2022","Eastern & Midland","Euro","41860.4082940692"
"Total Income per Person","2023","Ireland","Euro","41059.5682105558"
"Total Income per Person","2023","Northern & Western","Euro","35025.2617452812"
"Total Income per Person","2023","Southern","Euro","38442.7535352666"
"Total Income per Person","2023","Eastern & Midland","Euro","44981.6570615652"
"Total Income per Person","2024","Ireland","Euro","43709.3603427358"
"Total Income per Person","2024","Northern & Western","Euro","37293.0850632668"
"Total Income per Person","2024","Southern","Euro","40814.973246945"
"Total Income per Person","2024","Eastern & Midland","Euro","47958.9926813301"
"Index of Total Income per Person","2000","Ireland","State=100","100"
"Index of Total Income per Person","2000","Northern & Western","State=100","85.2912666845732"
"Index of Total Income per Person","2000","Southern","State=100","93.5521218334485"
"Index of Total Income per Person","2000","Eastern & Midland","State=100","110.178824609054"
"Index of Total Income per Person","2001","Ireland","State=100","100"
"Index of Total Income per Person","2001","Northern & Western","State=100","85.5278360270361"
"Index of Total Income per Person","2001","Southern","State=100","93.6494609815671"
"Index of Total Income per Person","2001","Eastern & Midland","State=100","109.978721916447"
"Index of Total Income per Person","2002","Ireland","State=100","100"
"Index of Total Income per Person","2002","Northern & Western","State=100","84.3356163389964"
"Index of Total Income per Person","2002","Southern","State=100","93.7351026577792"
"Index of Total Income per Person","2002","Eastern & Midland","State=100","110.418307319917"
"Index of Total Income per Person","2003","Ireland","State=100","100"
"Index of Total Income per Person","2003","Northern & Western","State=100","83.5141686922358"
"Index of Total Income per Person","2003","Southern","State=100","94.8195234689022"
"Index of Total Income per Person","2003","Eastern & Midland","State=100","110.001117442512"
"Index of Total Income per Person","2004","Ireland","State=100","100"
"Index of Total Income per Person","2004","Northern & Western","State=100","82.8880707091009"
"Index of Total Income per Person","2004","Southern","State=100","95.7737411538744"
"Index of Total Income per Person","2004","Eastern & Midland","State=100","109.602982097592"
"Index of Total Income per Person","2005","Ireland","State=100","100"
"Index of Total Income per Person","2005","Northern & Western","State=100","82.4364788568152"
"Index of Total Income per Person","2005","Southern","State=100","96.4887920386019"
"Index of Total Income per Person","2005","Eastern & Midland","State=100","109.233194477198"
"Index of Total Income per Person","2006","Ireland","State=100","100"
"Index of Total Income per Person","2006","Northern & Western","State=100","84.0687350180048"
"Index of Total Income per Person","2006","Southern","State=100","96.5197973719872"
"Index of Total Income per Person","2006","Eastern & Midland","State=100","108.350857650704"
"Index of Total Income per Person","2007","Ireland","State=100","100"
"Index of Total Income per Person","2007","Northern & Western","State=100","86.9904739112718"
"Index of Total Income per Person","2007","Southern","State=100","96.5644562937817"
"Index of Total Income per Person","2007","Eastern & Midland","State=100","107.061885447393"
"Index of Total Income per Person","2008","Ireland","State=100","100"
"Index of Total Income per Person","2008","Northern & Western","State=100","87.367584547977"
"Index of Total Income per Person","2008","Southern","State=100","96.1881543683505"
"Index of Total Income per Person","2008","Eastern & Midland","State=100","107.173463196667"
"Index of Total Income per Person","2009","Ireland","State=100","100"
"Index of Total Income per Person","2009","Northern & Western","State=100","87.9042937206029"
"Index of Total Income per Person","2009","Southern","State=100","96.7476221819818"
"Index of Total Income per Person","2009","Eastern & Midland","State=100","106.794300803895"
"Index of Total Income per Person","2010","Ireland","State=100","100"
"Index of Total Income per Person","2010","Northern & Western","State=100","88.0920139832344"
"Index of Total Income per Person","2010","Southern","State=100","97.0318286487081"
"Index of Total Income per Person","2010","Eastern & Midland","State=100","106.468496976632"
"Index of Total Income per Person","2011","Ireland","State=100","100"
"Index of Total Income per Person","2011","Northern & Western","State=100","89.6405661581457"
"Index of Total Income per Person","2011","Southern","State=100","97.0702569367641"
"Index of Total Income per Person","2011","Eastern & Midland","State=100","105.870640618734"
"Index of Total Income per Person","2012","Ireland","State=100","100"
"Index of Total Income per Person","2012","Northern & Western","State=100","87.9587578253657"
"Index of Total Income per Person","2012","Southern","State=100","97.3793702520116"
"Index of Total Income per Person","2012","Eastern & Midland","State=100","106.363890408864"
"Index of Total Income per Person","2013","Ireland","State=100","100"
"Index of Total Income per Person","2013","Northern & Western","State=100","88.0997874370616"
"Index of Total Income per Person","2013","Southern","State=100","96.6857578522481"
"Index of Total Income per Person","2013","Eastern & Midland","State=100","106.783120326287"
"Index of Total Income per Person","2014","Ireland","State=100","100"
"Index of Total Income per Person","2014","Northern & Western","State=100","88.6865822984598"
"Index of Total Income per Person","2014","Southern","State=100","96.8964179258538"
"Index of Total Income per Person","2014","Eastern & Midland","State=100","106.340549126424"
"Index of Total Income per Person","2015","Ireland","State=100","100"
"Index of Total Income per Person","2015","Northern & Western","State=100","88.4873035016239"
"Index of Total Income per Person","2015","Southern","State=100","96.9405885104533"
"Index of Total Income per Person","2015","Eastern & Midland","State=100","106.296266212158"
"Index of Total Income per Person","2016","Ireland","State=100","100"
"Index of Total Income per Person","2016","Northern & Western","State=100","87.5754200821066"
"Index of Total Income per Person","2016","Southern","State=100","96.4728403834676"
"Index of Total Income per Person","2016","Eastern & Midland","State=100","106.904028598933"
"Index of Total Income per Person","2017","Ireland","State=100","100"
"Index of Total Income per Person","2017","Northern & Western","State=100","86.9687727886095"
"Index of Total Income per Person","2017","Southern","State=100","96.6522138991872"
"Index of Total Income per Person","2017","Eastern & Midland","State=100","106.988972410598"
"Index of Total Income per Person","2018","Ireland","State=100","100"
"Index of Total Income per Person","2018","Northern & Western","State=100","87.1109087134391"
"Index of Total Income per Person","2018","Southern","State=100","95.7004416295783"
"Index of Total Income per Person","2018","Eastern & Midland","State=100","107.555888670292"
"Index of Total Income per Person","2019","Ireland","State=100","100"
"Index of Total Income per Person","2019","Northern & Western","State=100","86.5340333384811"
"Index of Total Income per Person","2019","Southern","State=100","94.9339127924853"
"Index of Total Income per Person","2019","Eastern & Midland","State=100","108.24412165761"
"Index of Total Income per Person","2020","Ireland","State=100","100"
"Index of Total Income per Person","2020","Northern & Western","State=100","88.6721308254466"
"Index of Total Income per Person","2020","Southern","State=100","95.2194290339199"
"Index of Total Income per Person","2020","Eastern & Midland","State=100","107.259180984355"
"Index of Total Income per Person","2021","Ireland","State=100","100"
"Index of Total Income per Person","2021","Northern & Western","State=100","86.3257608254014"
"Index of Total Income per Person","2021","Southern","State=100","94.4238545192272"
"Index of Total Income per Person","2021","Eastern & Midland","State=100","108.602187770258"
"Index of Total Income per Person","2022","Ireland","State=100","100"
"Index of Total Income per Person","2022","Northern & Western","State=100","85.805582733988"
"Index of Total Income per Person","2022","Southern","State=100","94.2480281325269"
"Index of Total Income per Person","2022","Eastern & Midland","State=100","108.897242265493"
"Index of Total Income per Person","2023","Ireland","State=100","100"
"Index of Total Income per Person","2023","Northern & Western","State=100","85.3035316047886"
"Index of Total Income per Person","2023","Southern","State=100","93.6267847195324"
"Index of Total Income per Person","2023","Eastern & Midland","State=100","109.552192148969"
"Index of Total Income per Person","2024","Ireland","State=100","100"
"Index of Total Income per Person","2024","Northern & Western","State=100","85.3205921359697"
"Index of Total Income per Person","2024","Southern","State=100","93.3781069475847"
"Index of Total Income per Person","2024","Eastern & Midland","State=100","109.722476616615"
"Current Taxes on Income","2000","Ireland","Euro Million","19066.96271"
"Current Taxes on Income","2000","Northern & Western","Euro Million","2240.21149332059"
"Current Taxes on Income","2000","Southern","Euro Million","4965.01330966815"
"Current Taxes on Income","2000","Eastern & Midland","Euro Million","11861.7379070113"
"Current Taxes on Income","2001","Ireland","Euro Million","20406.510753"
"Current Taxes on Income","2001","Northern & Western","Euro Million","2368.28008738951"
"Current Taxes on Income","2001","Southern","Euro Million","5242.86019346148"
"Current Taxes on Income","2001","Eastern & Midland","Euro Million","12795.370472149"
"Current Taxes on Income","2002","Ireland","Euro Million","20561.656145"
"Current Taxes on Income","2002","Northern & Western","Euro Million","2313.5495662444"
"Current Taxes on Income","2002","Southern","Euro Million","4984.6190654592"
"Current Taxes on Income","2002","Eastern & Midland","Euro Million","13263.4875132964"
"Current Taxes on Income","2003","Ireland","Euro Million","22676.772252"
"Current Taxes on Income","2003","Northern & Western","Euro Million","2586.16911638049"
"Current Taxes on Income","2003","Southern","Euro Million","5666.42806394472"
"Current Taxes on Income","2003","Eastern & Midland","Euro Million","14424.1750716748"
"Current Taxes on Income","2004","Ireland","Euro Million","25688.401688"
"Current Taxes on Income","2004","Northern & Western","Euro Million","3008.76136896033"
"Current Taxes on Income","2004","Southern","Euro Million","6572.25299031812"
"Current Taxes on Income","2004","Eastern & Midland","Euro Million","16107.3873287216"
"Current Taxes on Income","2005","Ireland","Euro Million","29012.526401"
"Current Taxes on Income","2005","Northern & Western","Euro Million","3548.95711325247"
"Current Taxes on Income","2005","Southern","Euro Million","7696.2037398519"
"Current Taxes on Income","2005","Eastern & Midland","Euro Million","17767.3655478956"
"Current Taxes on Income","2006","Ireland","Euro Million","32379.7968"
"Current Taxes on Income","2006","Northern & Western","Euro Million","3792.70962517767"
"Current Taxes on Income","2006","Southern","Euro Million","8490.04916095343"
"Current Taxes on Income","2006","Eastern & Midland","Euro Million","20097.0380138689"
"Current Taxes on Income","2007","Ireland","Euro Million","35753.852845"
"Current Taxes on Income","2007","Northern & Western","Euro Million","4399.73788896867"
"Current Taxes on Income","2007","Southern","Euro Million","9554.10541585968"
"Current Taxes on Income","2007","Eastern & Midland","Euro Million","21800.0095401716"
"Current Taxes on Income","2008","Ireland","Euro Million","33736.522654"
"Current Taxes on Income","2008","Northern & Western","Euro Million","4006.84150289859"
"Current Taxes on Income","2008","Southern","Euro Million","8613.34323071961"
"Current Taxes on Income","2008","Eastern & Midland","Euro Million","21116.3379203818"
"Current Taxes on Income","2009","Ireland","Euro Million","33112.355805"
"Current Taxes on Income","2009","Northern & Western","Euro Million","4018.22191795467"
"Current Taxes on Income","2009","Southern","Euro Million","8600.74410525791"
"Current Taxes on Income","2009","Eastern & Midland","Euro Million","20493.3897817874"
"Current Taxes on Income","2010","Ireland","Euro Million","32882.273367"
"Current Taxes on Income","2010","Northern & Western","Euro Million","3995.39307338576"
"Current Taxes on Income","2010","Southern","Euro Million","8787.80651928556"
"Current Taxes on Income","2010","Eastern & Midland","Euro Million","20099.0737743287"
"Current Taxes on Income","2011","Ireland","Euro Million","34505.428155"
"Current Taxes on Income","2011","Northern & Western","Euro Million","4382.20445547338"
"Current Taxes on Income","2011","Southern","Euro Million","9487.98941808064"
"Current Taxes on Income","2011","Eastern & Midland","Euro Million","20635.234281446"
"Current Taxes on Income","2012","Ireland","Euro Million","36418.81389"
"Current Taxes on Income","2012","Northern & Western","Euro Million","4493.53418151656"
"Current Taxes on Income","2012","Southern","Euro Million","9977.42928462633"
"Current Taxes on Income","2012","Eastern & Midland","Euro Million","21947.8504238571"
"Current Taxes on Income","2013","Ireland","Euro Million","36784.80326"
"Current Taxes on Income","2013","Northern & Western","Euro Million","4549.01916649305"
"Current Taxes on Income","2013","Southern","Euro Million","10038.4681606732"
"Current Taxes on Income","2013","Eastern & Midland","Euro Million","22197.3159328338"
"Current Taxes on Income","2014","Ireland","Euro Million","39320.226008"
"Current Taxes on Income","2014","Northern & Western","Euro Million","4886.55074664873"
"Current Taxes on Income","2014","Southern","Euro Million","10797.5216498255"
"Current Taxes on Income","2014","Eastern & Midland","Euro Million","23636.1536115258"
"Current Taxes on Income","2015","Ireland","Euro Million","41439.601574"
"Current Taxes on Income","2015","Northern & Western","Euro Million","5135.14267342262"
"Current Taxes on Income","2015","Southern","Euro Million","11297.8258817963"
"Current Taxes on Income","2015","Eastern & Midland","Euro Million","25006.6330187811"
"Current Taxes on Income","2016","Ireland","Euro Million","42362.648014"
"Current Taxes on Income","2016","Northern & Western","Euro Million","5301.80251114629"
"Current Taxes on Income","2016","Southern","Euro Million","11536.3024074253"
"Current Taxes on Income","2016","Eastern & Midland","Euro Million","25524.5430954284"
"Current Taxes on Income","2017","Ireland","Euro Million","45206.674469"
"Current Taxes on Income","2017","Northern & Western","Euro Million","5639.7662996421"
"Current Taxes on Income","2017","Southern","Euro Million","12303.5653436487"
"Current Taxes on Income","2017","Eastern & Midland","Euro Million","27263.3428257092"
"Current Taxes on Income","2018","Ireland","Euro Million","47891.441176"
"Current Taxes on Income","2018","Northern & Western","Euro Million","5995.08740409233"
"Current Taxes on Income","2018","Southern","Euro Million","13147.3094167995"
"Current Taxes on Income","2018","Eastern & Midland","Euro Million","28749.0443551082"
"Current Taxes on Income","2019","Ireland","Euro Million","50976.187235"
"Current Taxes on Income","2019","Northern & Western","Euro Million","6344.39382322102"
"Current Taxes on Income","2019","Southern","Euro Million","13970.508216413"
"Current Taxes on Income","2019","Eastern & Midland","Euro Million","30661.2851953659"
"Current Taxes on Income","2020","Ireland","Euro Million","50259.384816"
"Current Taxes on Income","2020","Northern & Western","Euro Million","6286.15217532435"
"Current Taxes on Income","2020","Southern","Euro Million","13985.8342201976"
"Current Taxes on Income","2020","Eastern & Midland","Euro Million","29987.3984204781"
"Current Taxes on Income","2021","Ireland","Euro Million","58323.625724"
"Current Taxes on Income","2021","Northern & Western","Euro Million","7428.26699571822"
"Current Taxes on Income","2021","Southern","Euro Million","16124.1260333228"
"Current Taxes on Income","2021","Eastern & Midland","Euro Million","34771.232694959"
"Current Taxes on Income","2022","Ireland","Euro Million","66254.834801"
"Current Taxes on Income","2022","Northern & Western","Euro Million","8487.93052158529"
"Current Taxes on Income","2022","Southern","Euro Million","18096.6014204576"
"Current Taxes on Income","2022","Eastern & Midland","Euro Million","39670.3028589571"
"Current Taxes on Income","2023","Ireland","Euro Million","69235.0939"
"Current Taxes on Income","2023","Northern & Western","Euro Million","8880.54936123619"
"Current Taxes on Income","2023","Southern","Euro Million","18865.8302466499"
"Current Taxes on Income","2023","Eastern & Midland","Euro Million","41488.7142921139"
"Current Taxes on Income","2024","Ireland","Euro Million","73075.07535"
"Current Taxes on Income","2024","Northern & Western","Euro Million","9628.57354503521"
"Current Taxes on Income","2024","Southern","Euro Million","20163.3276685624"
"Current Taxes on Income","2024","Eastern & Midland","Euro Million","43283.1741364024"
"Disposable Household Income","2000","Ireland","Euro Million","47739.9245818"
"Disposable Household Income","2000","Northern & Western","Euro Million","7965.59245232999"
"Disposable Household Income","2000","Southern","Euro Million","16540.7920855299"
"Disposable Household Income","2000","Eastern & Midland","Euro Million","23233.5400439402"
"Disposable Household Income","2001","Ireland","Euro Million","54886.2534964"
"Disposable Household Income","2001","Northern & Western","Euro Million","9126.76973633849"
"Disposable Household Income","2001","Southern","Euro Million","18999.4282701362"
"Disposable Household Income","2001","Eastern & Midland","Euro Million","26760.0554899253"
"Disposable Household Income","2002","Ireland","Euro Million","58868.1054883"
"Disposable Household Income","2002","Northern & Western","Euro Million","9757.43430923942"
"Disposable Household Income","2002","Southern","Euro Million","20534.8202625909"
"Disposable Household Income","2002","Eastern & Midland","Euro Million","28575.8509164697"
"Disposable Household Income","2003","Ireland","Euro Million","63132.6673452"
"Disposable Household Income","2003","Northern & Western","Euro Million","10433.5288942906"
"Disposable Household Income","2003","Southern","Euro Million","22143.3701673236"
"Disposable Household Income","2003","Eastern & Midland","Euro Million","30555.7682835858"
"Disposable Household Income","2004","Ireland","Euro Million","67481.5018854"
"Disposable Household Income","2004","Northern & Western","Euro Million","11108.7053171808"
"Disposable Household Income","2004","Southern","Euro Million","23879.0620843486"
"Disposable Household Income","2004","Eastern & Midland","Euro Million","32493.7344838706"
"Disposable Household Income","2005","Ireland","Euro Million","73816.2330433"
"Disposable Household Income","2005","Northern & Western","Euro Million","11907.1913900681"
"Disposable Household Income","2005","Southern","Euro Million","26148.1539819311"
"Disposable Household Income","2005","Eastern & Midland","Euro Million","35760.8876713009"
"Disposable Household Income","2006","Ireland","Euro Million","78939.0210334"
"Disposable Household Income","2006","Northern & Western","Euro Million","12910.8929762152"
"Disposable Household Income","2006","Southern","Euro Million","27988.922847017"
"Disposable Household Income","2006","Eastern & Midland","Euro Million","38039.2052101677"
"Disposable Household Income","2007","Ireland","Euro Million","86308.2723472"
"Disposable Household Income","2007","Northern & Western","Euro Million","14167.4940677927"
"Disposable Household Income","2007","Southern","Euro Million","30330.7916343693"
"Disposable Household Income","2007","Eastern & Midland","Euro Million","41809.986645038"
"Disposable Household Income","2008","Ireland","Euro Million","93401.9542316"
"Disposable Household Income","2008","Northern & Western","Euro Million","15356.1913419281"
"Disposable Household Income","2008","Southern","Euro Million","32809.0980994371"
"Disposable Household Income","2008","Eastern & Midland","Euro Million","45236.6647902348"
"Disposable Household Income","2009","Ireland","Euro Million","87690.3520515"
"Disposable Household Income","2009","Northern & Western","Euro Million","15088.4651561347"
"Disposable Household Income","2009","Southern","Euro Million","30898.8968454878"
